location,one_dose,daily_cases,continent,type
Slovakia,38.64,4.03,Europe,Country
Slovenia,40.53,17.94,Europe,Country
Solomon Islands,2.63,0.00,Oceania,Country
Somalia,0.94,0.44,Africa,Country
South Africa,6.14,336.47,Africa,Country
South America,33.06,238.84,South America,Continent
South Korea,30.26,18.93,Asia,Country
South Sudan,0.4,0.70,Africa,Country
Spain,58.34,272.05,Europe,Country
Sri Lanka,15.86,59.87,Asia,Country
Sudan,1.26,0.89,Africa,Country
Suriname,28.31,257.16,South America,Country
Sweden,53.85,24.83,Europe,Country
Switzerland,51.42,13.65,Europe,Country
Syria,0.58,2.43,Asia,Country
Taiwan,12.85,1.78,Asia,Country
Tajikistan,2.16,1.96,Asia,Country
Thailand,12.61,88.82,Asia,Country
Timor,16.55,47.68,Africa,Country
Togo,3.27,1.09,Africa,Country
Trinidad and Tobago,16.1,123.72,North America,Country
Tunisia,12.22,541.65,Africa,Country
Turkey,44.25,57.85,Asia,Country
Uganda,2.25,16.70,Africa,Country
Ukraine,5.08,22.61,Europe,Country
United Arab Emirates,75,159.91,Asia,Country
United Kingdom,67.17,401.23,Europe,Country
United States,54.79,47.94,North America,Country
Uruguay,67.47,193.21,South America,Country
Uzbekistan,6.2,14.27,Asia,Country
Vanuatu,3.41,0.00,Oceania,Country
Venezuela,8.03,45.37,South America,Country
Vietnam,3.84,10.40,Asia,Country
Yemen,0.9,0.11,Asia,Country
Zambia,0.77,98.10,Africa,Country
Zimbabwe,5.51,99.61,Africa,Country
